pole_pairs,voltage,model_code,power_kw,power_hp,speed_50hz_rpm,speed_60hz_rpm,efficiency_pct,cos_phi,ik_over_idn,tk_over_tdn,mass_kg,extraction_note
2,220V/380V,K90S2,0.75,1.0,2845,3430,77.5,0.87,5.0,1.9,17,
2,220V/380V,K90L2,1.1,1.5,2850,3432,78.5,0.87,6.7,2.4,20,
2,220V/380V,K100L2,1.5,2.0,2860,3435,79.5,0.87,6.9,2.5,24,
2,220V/380V,K112S2,2.2,3.0,2880,3460,82.0,0.88,7.3,2.7,36,
2,220V/380V,K112M2,3.0,4.0,2890,3462,83.5,0.9,7.0,2.5,42,
2,220V/380V,K132S2,4.0,5.5,2890,3462,84.5,0.9,6.8,2.5,60,
2,220V/380V,K132M2,5.5,7.5,2900,3480,85.0,0.93,7.0,2.2,73,
2,220V/380V,K160S2,7.5,10.0,2935,3519,86.0,0.93,7.3,2.2,94,
2,220V/380V,K160M2,11.0,13.0,2935,3519,87.0,0.9,6.3,2.1,110,
2,220V/380V,K160L2,15.0,19.5,2950,3538,87.0,0.9,7.0,2.1,158,
2,220V/380V,K180L2,18.5,25.0,2950,3538,87.0,0.9,6.7,2.2,202,
2,220V/380V,K200M2,22.0,30.0,2950,3538,87.0,0.9,7.0,2.1,233,
2,220V/380V,K200L2,30.0,40.0,2950,3538,88.0,0.91,7.0,2.1,312,
4,220V/380V,K90S4,0.75,1.0,1420,1704,73.5,0.76,4.6,2.1,17,
4,220V/380V,K90L4,1.1,1.5,1420,1704,77.0,0.78,5.6,2.3,20,
4,220V/380V,K100L4,1.5,2.0,1425,1710,79.0,0.8,5.9,2.3,24,
4,220V/380V,K112S4,2.2,3.0,1440,1730,81.5,0.82,5.4,2.2,35,
4,220V/380V,K112M4,3.0,4.0,1445,1732,82.0,0.83,5.9,2.0,41,
4,220V/380V,K132S4,4.0,5.5,1445,1732,85.0,0.83,6.0,2.0,58,
4,220V/380V,K132M4,5.5,7.5,1445,1732,86.0,0.86,5.9,2.0,72,
4,220V/380V,K160S4,7.5,10.0,1450,1740,87.5,0.86,5.8,2.2,94,
4,220V/380V,K160M4,11.0,13.5,1450,1740,87.5,0.87,6.1,1.6,110,
4,220V/380V,K180M4,15.0,19.5,1450,1740,87.5,0.87,5.5,1.6,159,
4,220V/380V,K180L4,18.5,25.0,1455,1745,88.0,0.88,5.9,2.0,211,
4,220V/380V,K200M4,22.0,30.0,1475,1774,89.0,0.89,5.5,2.0,251,
4,220V/380V,K200L4,30.0,40.0,1475,1774,89.0,0.89,5.5,2.0,320,