code,type,d,D,B,C_kN,C0_kN,e,Y,alpha_deg
203,deep_groove_ball,17,40,12,9.5,4.5,0,0,0
204,deep_groove_ball,20,47,14,10,6.3,0,0,0
205,deep_groove_ball,25,52,15,11,7.09,0,0,0
206,deep_groove_ball,30,62,16,15.3,10.2,0,0,0
207,deep_groove_ball,35,72,17,20.1,13.9,0,0,0
208,deep_groove_ball,40,80,18,25.6,18.1,0,0,0
209,deep_groove_ball,45,85,19,25.7,18.1,0,0,0
210,deep_groove_ball,50,90,20,27.5,20.2,0,0,0
211,deep_groove_ball,55,100,21,34,25.6,0,0,0
212,deep_groove_ball,60,110,22,41.1,31.5,0,0,0
213,deep_groove_ball,65,120,23,44.9,34.7,0,0,0
304,deep_groove_ball,20,52,15,12.5,7.94,0,0,0
305,deep_groove_ball,25,62,17,17.6,11.6,0,0,0
306,deep_groove_ball,30,72,19,22,15.1,0,0,0
307,deep_groove_ball,35,80,21,26.2,17.9,0,0,0
308,deep_groove_ball,40,90,23,31.9,21.7,0,0,0
309,deep_groove_ball,45,100,25,37.8,26.7,0,0,0
310,deep_groove_ball,50,110,27,48.5,36.3,0,0,0
311,deep_groove_ball,55,120,29,56,42.6,0,0,0
312,deep_groove_ball,60,130,31,64.1,49.4,0,0,0
7203,tapered,17,40,12,13.8,9.3,0.314,1.91,11.83
7204,tapered,20,47,14,19.1,13.3,0.36,1.666,13.5
7205,tapered,25,52,15,23.9,17.9,0.36,1.666,13.5
7206,tapered,30,62,16,29.8,22.3,0.365,1.645,13.67
7207,tapered,35,72,17,35.2,26.3,0.369,1.625,13.83
7208,tapered,40,80,18,42.4,32.7,0.383,1.566,14.33
7209,tapered,45,85,19,42.7,33.4,0.411,1.459,15.33
7210,tapered,50,90,20,52.9,40.6,0.374,1.604,14
7304,tapered,20,52,15,25,16.6,0.296,2.026,11.17
7305,tapered,25,62,17,29.6,20.9,0.36,1.666,13.5
7306,tapered,30,72,19,40,29.9,0.36,1.666,13.5
7307,tapered,35,80,21,48.1,35.3,0.319,1.882,12
7308,tapered,40,90,23,61,46,0.278,2.158,10.5
7309,tapered,45,100,25,76.1,59.3,0.287,2.091,10.83
7310,tapered,50,110,27,96.6,75.9,0.31,1.937,11.67
7311,tapered,55,120,29,102,81.5,0.333,1.804,12.5
7312,tapered,60,130,31,118,96.3,0.305,1.966,11.5